route,flight_hour,flight_day,trip_type,sales_channel,num_passengers,purchase_lead,length_of_stay,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
AKLHGH,6,Tue,RoundTrip,Internet,1,21,12,0,0,0,7.21,1
AKLDEL,7,Sat,RoundTrip,Internet,2,262,19,1,0,0,5.52,0
AKLDEL,3,Sat,RoundTrip,Internet,1,112,20,0,0,0,5.52,0
AKLDEL,17,Wed,RoundTrip,Internet,2,243,22,1,1,0,5.52,0
AKLDEL,4,Sat,RoundTrip,Internet,1,96,31,0,0,1,5.52,0
AKLDEL,15,Wed,RoundTrip,Internet,2,68,22,1,0,1,5.52,0
AKLDEL,20,Thu,RoundTrip,Internet,1,3,48,1,0,1,5.52,0
AKLDEL,6,Thu,RoundTrip,Internet,3,201,33,1,0,1,5.52,0
AKLDEL,14,Mon,RoundTrip,Internet,2,238,19,1,0,1,5.52,0
AKLDEL,4,Mon,RoundTrip,Internet,1,80,22,0,0,1,5.52,0
AKLDEL,12,Sun,RoundTrip,Mobile,1,378,30,0,0,0,5.52,0
AKLDEL,14,Tue,RoundTrip,Internet,2,185,25,1,1,1,5.52,0
AKLDEL,2,Sat,RoundTrip,Internet,1,8,43,1,1,1,5.52,0
AKLDEL,19,Mon,RoundTrip,Internet,4,265,24,1,0,1,5.52,0
AKLDEL,14,Fri,RoundTrip,Internet,1,185,17,0,0,0,5.52,0
AKLDEL,4,Tue,RoundTrip,Internet,1,245,34,1,1,1,5.52,0
AKLDEL,14,Thu,RoundTrip,Internet,1,192,18,1,0,0,5.52,0
AKLDEL,6,Sun,RoundTrip,Internet,1,259,37,0,0,0,5.52,0
AKLDEL,10,Sat,RoundTrip,Internet,1,19,29,0,0,1,5.52,0
AKLDEL,8,Sun,RoundTrip,Internet,1,67,155,1,0,0,5.52,0
AKLHGH,3,Sun,RoundTrip,Internet,1,351,17,0,0,0,5.07,0
AKLHND,23,Wed,CircleTrip,Internet,2,228,29,1,0,0,7.57,0
AKLICN,9,Wed,RoundTrip,Internet,1,21,88,1,0,1,6.62,0
AKLICN,8,Mon,RoundTrip,Internet,2,23,19,1,0,1,6.62,0
AKLICN,13,Fri,RoundTrip,Internet,2,25,27,1,0,1,6.62,0
AKLICN,6,Thu,RoundTrip,Internet,1,16,21,1,0,1,6.62,0
AKLICN,7,Thu,RoundTrip,Internet,1,66,20,1,0,0,6.62,0
AKLICN,6,Fri,RoundTrip,Internet,1,51,28,0,0,0,6.62,0
AKLICN,7,Mon,RoundTrip,Internet,2,37,24,1,0,0,6.62,0
AKLICN,11,Tue,RoundTrip,Internet,1,101,19,1,0,1,6.62,0
AKLICN,2,Tue,RoundTrip,Internet,1,19,47,1,0,1,6.62,0
AKLICN,23,Wed,RoundTrip,Internet,1,16,35,1,1,0,6.62,0
AKLICN,4,Thu,RoundTrip,Internet,2,7,82,1,0,1,6.62,0
AKLICN,0,Fri,RoundTrip,Internet,1,5,27,0,0,1,6.62,0
AKLICN,4,Mon,RoundTrip,Internet,1,185,34,1,0,1,6.62,0
AKLICN,7,Fri,RoundTrip,Internet,1,21,22,1,1,0,6.62,0
AKLICN,4,Wed,RoundTrip,Internet,1,7,27,0,0,1,6.62,0
AKLICN,14,Sat,RoundTrip,Internet,1,33,22,1,0,0,6.62,0
AKLICN,3,Fri,RoundTrip,Internet,6,20,22,1,1,1,6.62,0
AKLICN,7,Thu,RoundTrip,Internet,2,56,21,1,0,0,6.62,0
AKLICN,1,Mon,RoundTrip,Internet,1,3,33,1,0,1,6.62,0
AKLICN,7,Mon,RoundTrip,Internet,1,13,26,1,0,0,6.62,0
AKLICN,7,Thu,RoundTrip,Internet,1,71,90,1,1,1,6.62,0
AKLICN,8,Mon,RoundTrip,Internet,2,346,23,1,0,1,6.62,0
AKLICN,7,Wed,RoundTrip,Internet,1,9,84,1,0,0,6.62,0
AKLICN,14,Thu,RoundTrip,Internet,1,65,22,1,0,0,6.62,0
AKLICN,2,Sun,RoundTrip,Mobile,1,221,61,0,0,0,6.62,0
AKLICN,14,Wed,RoundTrip,Internet,1,65,18,0,0,1,6.62,0
AKLICN,7,Wed,RoundTrip,Internet,2,7,40,1,0,1,6.62,0
AKLICN,14,Fri,RoundTrip,Internet,1,107,24,0,1,0,6.62,0
AKLICN,10,Wed,RoundTrip,Internet,1,14,27,0,0,0,6.62,0
AKLICN,9,Tue,RoundTrip,Internet,1,77,96,1,0,1,6.62,0
AKLICN,9,Wed,RoundTrip,Internet,1,65,17,1,0,0,6.62,0
AKLICN,8,Thu,RoundTrip,Internet,1,24,25,1,0,1,6.62,0
AKLICN,2,Wed,RoundTrip,Internet,1,47,69,1,1,1,6.62,0
AKLICN,14,Tue,RoundTrip,Internet,1,22,89,1,0,1,6.62,0
AKLICN,4,Thu,RoundTrip,Internet,2,11,25,1,0,1,6.62,0
AKLICN,6,Tue,RoundTrip,Internet,1,35,25,0,0,1,6.62,0
AKLICN,14,Tue,RoundTrip,Internet,1,272,21,1,0,0,6.62,0
AKLICN,10,Mon,RoundTrip,Internet,1,20,18,0,0,0,6.62,0
AKLICN,9,Sun,RoundTrip,Internet,1,250,23,1,0,1,6.62,0
AKLICN,2,Sat,RoundTrip,Internet,1,161,58,1,0,1,6.62,0
AKLICN,9,Mon,RoundTrip,Internet,4,128,21,1,1,0,6.62,0
AKLICN,14,Sun,RoundTrip,Internet,1,190,27,1,0,1,6.62,0
AKLICN,6,Sat,RoundTrip,Internet,4,311,27,0,1,0,6.62,0
AKLICN,7,Fri,RoundTrip,Internet,1,27,56,1,0,1,6.62,0
AKLICN,10,Sun,RoundTrip,Internet,2,314,43,0,0,0,6.62,0
AKLICN,11,Wed,RoundTrip,Internet,1,25,29,1,0,1,6.62,0
AKLICN,6,Tue,RoundTrip,Internet,1,102,110,1,0,0,6.62,0
