flight_number,origin_station_code,destination_station_code,scheduled_departure_date,verbatim_text,sentiments
950,LHX,SFX,2022-09-01,There was no salad dressing. The staff informed me that the flight did not receive any salad dressing for any of the meals.,Neutral
950,LHX,SFX,2022-09-01,Not a choice.,Neutral
1876,FLX,EWX,2022-09-01,More variety and bigger snacks.,Neutral
5469,SFX,SEX,2022-09-01,"Serving pretzels and cookies in first class was extremely disappointing. Really, a little thought from chef would go a long way.",Neutral
281,DEX,ANX,2022-09-01,More inflight selections to purchase for full meals.,Neutral
1726,SFX,OGX,2022-09-01,Hot food options would be nice.,Neutral
929,LHX,ORX,2022-09-01,"Ok, better than most United flights I have been on.",Neutral
2049,SJX,IAX,2022-09-01,"I enjoy illy coffee, but the decaf instant was not all pleasant. Do not recommend using that brand for decaf.",Neutral
884,LHX,EWX,2022-09-02,I had a seltzer.,Neutral
1282,OGX,LAX,2022-09-01,I thought a 3rd entree should be offered. no real dessert (a cookie) and vodka was a poor choice brand.,Neutral
683,EWX,SFX,2022-09-02,Beef was too tough to cut or chew.,Neutral
1635,MCX,IAX,2022-09-02,no.,Neutral
2071,LAX,DEX,2022-09-01,Chicken sattar was dry and bland.,Neutral
1827,SFX,DEX,2022-09-02,Grateful United has lemons for tea and coke. No other airline does!.,Neutral
1231,YVX,SFX,2022-09-02,Out of apple juice.,Neutral
1650,SFX,CMX,2022-09-02,I would have preferred bottled water. Not a big deal as it was a red eye flight.,Neutral
965,EWX,NAX,2022-09-02,Having some fresh fruit options (just like apples or oranges or something) would be very nice. It is hard to get fresh fruits and veggies at the airport. Also having a small salad with the meal would be recommended over a noodle starter. Thank you!.,Neutral
1673,ORX,EWX,2022-09-01,Need kosher creamer.,Neutral
1667,SFX,EWX,2022-09-03,The chicken entree was a thai chicken noodle. The problem is thai food tends to contain peanuts and neither of the stewardesses knew if this entree contained peanuts which is important because my son has a peanut allergy.,Neutral
1723,OGX,SFX,2022-09-03,"Would like to see a more meal selection, better snacks. like nuts/fruit etc.",Neutral
1523,FLX,EWX,2022-09-03,The travelers should be given 2 snacks instead of 1.,Neutral
1571,BZX,IAX,2022-09-03,"I and my wife did not partake in the complimentary meal that was served. However, we did not receive anything else until we asked for a few snacks. Attendent needed to be more attentive to this.",Neutral
494,CLX,IAX,2022-09-03,Short flight offered a cup of water which was nice.,Neutral
982,DUX,ORX,2022-09-03,white wine had gone bad;. make sure they cork the bottles or empty them out between flights.,Neutral
4725,FCX,SFX,2022-09-03,Not many it any gluten intolerant options. So much bread and cookies that I could not eat.,Neutral
1223,EWX,SJX,2022-09-03,Please improve the coffe.,Neutral
301,SFX,HNX,2022-09-03,"In the pre-order menu the burger, breakfast sandwich, and oatmeal were not offered. Would have preferred one of those to getting the snack box. Would like to purchase a second alcoholic beverage.",Neutral
775,MCX,IAX,2022-09-03,No.,Neutral
68,KOX,ORX,2022-09-03,That was by far the best food I have ever had on a flight!. I have flown to Africa and back many times and never had a meal as delicious as that!.,Neutral
364,EWX,HNX,2022-09-04,Breakfast was good as well.,Neutral
2099,IAX,MCX,2022-09-04,I wish there was a wider selection of snacks to buy on the plane.,Neutral
5,LHX,IAX,2022-09-04,Quality of the meal was fair at best.,Neutral
5,LHX,IAX,2022-09-04,"Unusually the in flight food was quite satisfying and tasty, could have been a little bigger…especially the ice cream given as dessert. But on a whole very good all round.",Neutral
122,BCX,EWX,2022-09-04,The burger for the lunch meal did not taste that great. Especially for a first class meal a heated up burger was lacking compared to ticket price. The only other feedback is the amount of times someone came with the beverage cart compared to other airlines. Other airlines it was more frequent.,Neutral
13,ZRX,ORX,2022-09-04,Food quality probably was not up to par with Polaris cabin.,Neutral
13,ZRX,ORX,2022-09-04,Please provide more range of vegetarian food.,Neutral
725,HNX,SFX,2022-09-04,"on our return flight we were asked to choose either a cookie or pretzels, on our outbound flight we were given both, it should have been consistent.",Neutral
5041,DEX,LBX,2022-09-03,"on the other flight, I appreciated the Illy coffee.",Neutral
1901,COX,DEX,2022-09-05,It is a really short flight. they did not even offer us water.,Neutral
1950,IAX,CLX,2022-09-05,Flight ran out of cookies and being towards the back of the plane I had to opt for pretzels.,Neutral
220,ORX,HNX,2022-09-05,Very impressed with the quality and quantity.,Neutral
383,IAX,SAX,2022-09-05,We never got any food or beverages.,Neutral
5572,SBX,SFX,2022-09-05,no.,Neutral
2110,PIX,DEX,2022-09-05,no.,Neutral
2110,PIX,DEX,2022-09-05,No.,Neutral
1888,DEX,BDX,2022-09-05,I would like a bottle of water.,Neutral
555,EWX,DFX,2022-09-05,no.,Neutral
1223,EWX,SJX,2022-09-05,I was charged me so much for a short trip. the options for beverage were Coke or water. How cheap this company has became!.,Neutral
1040,AUX,EWX,2022-09-04,No.,Neutral
2629,PHX,IAX,2022-09-06,Please add a diet caffeine free soda such as Sprite Zero or diet ginger ale. We had breakfast as we were in business. The breakfast was great!.,Neutral
871,SYX,SFX,2022-09-06,No.,Neutral
617,ORX,DCX,2022-09-05,Why do not you offer any free snacks?.,Neutral
532,ANX,ORX,2022-09-05,Coffee was served very hot…a nice surprise.,Neutral
84,DEX,EWX,2022-09-06,I think In long 16 hour flight the vegetarian menu should be more elaborate.,Neutral
427,SLX,EWX,2022-09-06,No.,Neutral
