flight_number,origin_station_code,destination_station_code,score,satisfaction_type,arrival_delay_minutes,cabin_name,fleet_type_description,seat_factor_band,loyalty_program_level,fleet_usage,haul_type
3802,MKX,ORX,2.0,Dissatisfied,-24,Economy,CRJ-200,80+,,Express,Short
4645,COX,DEX,5.0,Satisfied,10,,ERJ-175,90+,premier platinum,Express,Short
5236,COX,DEX,5.0,Satisfied,-8,,ERJ-175,90+,premier platinum,Express,Short
4686,DEX,COX,3.0,Dissatisfied,-11,Economy,CRJ-200,90+,non-elite,Express,Short
671,DEX,COX,5.0,Satisfied,18,,A319-100,90+,premier silver,Mainline,Short
3947,IAX,CHX,3.0,Dissatisfied,6,Economy,CRJ-200,80+,,Express,Short
3609,EWX,PHX,5.0,Satisfied,9,Economy,ERJ-170,70+,,Express,Short
4797,LAX,SBX,3.0,Dissatisfied,-14,,CRJ-700,0 to 70,premier gold,Express,Short
5099,LAX,DEX,1.0,Dissatisfied,-5,Economy,CRJ-200,80+,non-elite,Express,Short
4635,ASX,DEX,3.0,Dissatisfied,55,Economy,CRJ-700,90+,non-elite,Express,Short
118,SPX,GUX,1.0,Dissatisfied,-19,Economy,B737-800,90+,,Mainline,Short
4748,GRX,ORX,3.0,Dissatisfied,-11,Economy,CRJ-200,90+,,Express,Short
5387,ORX,MLX,3.0,Dissatisfied,-12,,ERJ-175,90+,non-elite,Express,Short
1646,IAX,AUX,1.0,Dissatisfied,-8,Economy Plus,B737-800,0 to 70,premier platinum,Mainline,Short
2102,AUX,IAX,1.0,Dissatisfied,-13,Economy,A320-200,90+,,Mainline,Short
4749,HDX,DEX,2.0,Dissatisfied,15,Economy,ERJ-175,90+,non-elite,Express,Short
4176,ALX,EWX,3.0,Dissatisfied,46,Economy,CRJ-550,90+,non-elite,Express,Short
4176,ALX,EWX,1.0,Dissatisfied,46,Economy,CRJ-550,90+,,Express,Short
4438,ALX,EWX,3.0,Dissatisfied,-2,,CRJ-550,90+,premier 1k,Express,Short
5383,GUX,DEX,3.0,Dissatisfied,-22,,CRJ-700,0 to 70,premier gold,Express,Short
3632,ORX,INX,1.0,Dissatisfied,-27,Economy,ERJ-170,90+,non-elite,Express,Short
5447,SFX,SBX,1.0,Dissatisfied,-23,Economy,ERJ-175,80+,non-elite,Express,Short
383,IAX,SAX,1.0,Dissatisfied,133,,B737-800,90+,premier silver,Mainline,Short
2034,RNX,SFX,1.0,Dissatisfied,-18,Economy,B737-800,90+,non-elite,Mainline,Short
2034,RNX,SFX,3.0,Dissatisfied,-18,,B737-800,90+,premier platinum,Mainline,Short
5378,ORX,CIX,4.0,Satisfied,-21,,ERJ-175,90+,premier 1k,Express,Short
4439,DCX,EWX,1.0,Dissatisfied,-19,Economy,CRJ-550,80+,,Express,Short
3420,EWX,BOX,1.0,Dissatisfied,-15,Economy Plus,ERJ-175,80+,,Express,Short
4367,CRX,IAX,5.0,Satisfied,13,Economy,ERJ-145,90+,premier 1k,Express,Short
4934,IAX,LFX,1.0,Dissatisfied,9,Economy,ERJ-145,90+,non-elite,Express,Short
4365,IAX,CRX,5.0,Satisfied,2,Economy,ERJ-145,90+,,Express,Short
597,IAX,EWX,2.0,Dissatisfied,-27,Economy,B737-900,90+,,Mainline,Short
4559,EWX,ACX,1.0,Dissatisfied,-20,Economy,CRJ-550,90+,non-elite,Express,Short
1279,TVX,ORX,2.0,Dissatisfied,-11,,A319-100,0 to 70,non-elite,Mainline,Short
6131,DFX,IAX,1.0,Dissatisfied,-21,Economy,ERJ-175,90+,,Express,Short
1891,DFX,IAX,3.0,Dissatisfied,27,Economy,A319-100,90+,non-elite,Mainline,Short
6070,IAX,RDX,3.0,Dissatisfied,-13,,ERJ-175,80+,premier 1k,Express,Short
6063,DFX,IAX,1.0,Dissatisfied,-8,,ERJ-175,90+,non-elite,Express,Short
1663,IAX,DFX,5.0,Satisfied,-20,Economy,B737-800,0 to 70,,Mainline,Short
4460,IAX,LGX,5.0,Satisfied,3,,CRJ-550,90+,premier gold,Express,Short
5295,DEX,CPX,2.0,Dissatisfied,-12,Economy,CRJ-200,90+,non-elite,Express,Short
3723,DAX,ORX,3.0,Dissatisfied,-30,Economy,CRJ-200,90+,non-elite,Express,Short
4637,DEX,DRX,3.0,Dissatisfied,-16,Economy,CRJ-200,90+,,Express,Short
4688,DEX,DRX,1.0,Dissatisfied,-17,Economy,CRJ-200,90+,premier silver,Express,Short
5396,ORX,STX,2.0,Dissatisfied,-29,Economy Plus,ERJ-175,70+,premier gold,Express,Short
1724,SBX,SFX,5.0,Satisfied,-21,,A320-200,0 to 70,premier silver,Mainline,Short
785,SBX,SFX,4.0,Satisfied,-3,,A319-100,0 to 70,premier platinum,Mainline,Short
3728,CVX,ORX,3.0,Dissatisfied,-40,Economy,CRJ-200,90+,,Express,Short
4325,IAX,BUX,2.0,Dissatisfied,11,Economy Plus,ERJ-145,90+,premier platinum,Express,Short
4325,IAX,BUX,3.0,Dissatisfied,11,Economy,ERJ-145,90+,,Express,Short
3510,EWX,PWX,1.0,Dissatisfied,15,Economy,ERJ-170,90+,,Express,Short
2434,IAX,CLX,1.0,Dissatisfied,-16,Economy Plus,B737-800,90+,premier 1k,Mainline,Short
2616,IAX,SYX,5.0,Satisfied,-16,Economy Plus,A320-200,80+,,Mainline,Short
1093,CMX,ORX,2.0,Dissatisfied,73,Economy Plus,B737-800,80+,,Mainline,Short
5384,ORX,DSX,4.0,Satisfied,-12,,ERJ-175,90+,premier gold,Express,Short
3793,ORX,DSX,1.0,Dissatisfied,-24,Economy,CRJ-200,80+,,Express,Short
4740,DSX,ORX,4.0,Satisfied,-8,Economy,ERJ-175,90+,non-elite,Express,Short
1632,RAX,DEX,3.0,Dissatisfied,6,Economy,A319-100,80+,,Mainline,Short
1529,IAX,MSX,2.0,Dissatisfied,-2,Economy,B737-800,90+,non-elite,Mainline,Short
2184,MSX,IAX,1.0,Dissatisfied,74,Economy,A320-200,0 to 70,,Mainline,Short
